Team,played,won,draw,loss,gf,ga,gd,pts
Juventus,38,30,5,3,86,24,62,95
Napoli,38,28,7,3,77,29,48,91
Roma,38,23,8,7,61,28,33,77
Inter,38,20,12,6,66,30,36,72
Lazio,38,21,9,8,89,49,40,72
Milan,38,18,10,10,56,42,14,64
Atalanta,38,16,12,10,57,39,18,60
Fiorentina,38,16,9,13,54,46,8,57
Torino,38,13,15,10,54,46,8,54
Sampdoria,38,16,6,16,56,60,-4,54
Sassuolo,38,11,10,17,29,59,-30,43
Genoa,38,11,8,19,33,43,-10,41
Chievo Verona,38,10,10,18,36,59,-23,40
Udinese,38,12,4,22,48,63,-15,40
Bologna,38,11,6,21,40,52,-12,39
Cagliari,38,11,6,21,33,61,-28,39
Ferrara (SPAL),38,8,14,16,39,59,-20,38
Crotone,38,9,8,21,40,66,-26,35
Hellas Verona,38,7,4,27,30,78,-48,25
Benevento Calcio,38,6,3,29,33,84,-51,21
Paris Saint-Germain,38,29,6,3,108,29,79,93
AS Monaco,38,24,8,6,85,45,40,80
Olympique Lyonnais,38,23,9,6,87,43,44,78
Olympique de Marseille,38,22,11,5,80,47,33,77
Rennes,38,16,10,12,50,44,6,58
Girondins de Bordeaux,38,16,7,15,53,48,5,55
AS Saint-Etienne,38,15,10,13,47,50,-3,55
OGC Nice,38,15,9,14,53,52,1,54
Dijon FCO,38,13,9,16,55,73,-18,48
En Avant de Guingamp,38,12,11,15,48,59,-11,47
Amiens SC Football,38,12,9,17,37,42,-5,45
Angers SCO,38,9,14,15,42,52,-10,41
RC Strasbourg,38,9,11,18,44,67,-23,38
SM Caen,38,10,8,20,27,52,-25,38
LOSC Lille,38,10,8,20,41,67,-26,38
Toulouse FC,38,9,10,19,38,54,-16,37
ES Troyes AC,38,9,6,23,32,59,-27,33
FC Metz,38,6,8,24,34,76,-42,26
FC Barcelona,38,28,9,1,99,29,70,93
Atletico Madrid,38,23,10,5,58,22,36,79
Real Madrid CF,38,22,10,6,94,44,50,76
Valencia CF,38,22,7,9,65,38,27,73
Villarreal CF,38,18,7,13,57,50,7,61
Real Betis Balompie,38,18,6,14,60,61,-1,60
Sevilla CF,38,17,7,14,49,58,-9,58
Getafe CF,38,15,10,13,42,33,9,55
SD Eibar,38,14,9,15,44,50,-6,51
Girona CF,38,14,9,15,50,59,-9,51
RCD Espanyol,38,12,13,13,36,42,-6,49
Real Sociedad,38,14,7,17,66,59,7,49
RC Celta de Vigo,38,13,10,15,59,60,-1,49
Alaves,38,15,2,21,40,50,-10,47
Levante UD,38,11,13,14,44,58,-14,46
Athletic Club de Bilbao,38,10,13,15,41,49,-8,43
CD Leganes,38,12,7,19,34,51,-17,43
Deportivo Alaves,38,6,11,21,38,76,-38,29
UD Las Palmas,38,5,7,26,24,74,-50,22
Malaga CF,38,5,5,28,24,61,-37,20
Manchester City,38,32,4,2,106,27,79,100
Manchester United,38,25,6,7,68,28,40,81
Tottenham Hotspur,38,23,8,7,74,36,38,77
Liverpool,38,21,12,5,84,38,46,75
Chelsea,38,21,7,10,62,38,24,70
Arsenal,38,19,6,13,74,51,23,63
Burnley,38,14,12,12,36,39,-3,54
Everton,38,13,10,15,44,58,-14,49
Leicester City,38,12,11,15,56,60,-4,47
Newcastle United,38,12,8,18,39,47,-8,44
Crystal Palace,38,11,11,16,45,55,-10,44
Bournemouth,38,11,11,16,45,61,-16,44
West Ham United,38,10,12,16,48,68,-20,42
Watford,38,11,8,19,44,64,-20,42
Brighton & Hove Albion,38,9,13,16,34,54,-20,40
Huddersfield Town,38,9,10,19,28,58,-30,37
Southampton,38,7,15,16,37,56,-19,36
Swansea City,38,8,9,21,28,56,-28,33
Stoke City,38,7,12,19,36,68,-33,33
West Bromwich Albion,38,6,13,19,31,56,-25,31
FC Bayern Munich,34,27,3,4,92,28,64,84
FC Schalke 04,34,18,9,7,53,37,16,63
TSG 1899 Hoffenheim,34,15,10,9,66,48,18,55
Borussia Dortmund,34,15,10,9,64,47,17,55
Bayer 04 Leverkusen,34,15,10,9,58,44,14,55
RB Leipzig,34,15,8,11,57,53,4,53
VfB Stuutgart,34,15,6,13,36,36,0,51
Eintracht Frankfurt,34,14,7,13,45,45,0,49
Borussia Monchengladbach,34,13,8,13,47,52,-5,47
Hertha BSC Berlin,34,10,13,11,43,46,-3,43
SV Werder Bremen,10,12,12,37,40,-3,42
FC Augusburg,34,10,11,13,43,46,-3,41
Hannover 96,34,10,9,15,44,54,-10,39
1. FSV Mainz 05,34,9,9,16,38,52,14,36
SC Freiburg,34,8,12,14,32,56,-24,36
VfL Wolfsburg,34,6,15,13,36,48,-12,33
Hamburger SV,34,8,7,19,29,53,-24,31
1. FC Koln,34,5,7,22,35,70,-35,22
